Agency,Clinic,Address,City,ZipCode,State,Longitude,Latitude,GeoDate,longitude,latitude
"Sea Mar Comm Health Centers","Sea Mar CHC-Ocean Shores","597 Point Brown Ave NW","Ocean Shores",98569,"WA",-124.16127,47.002,[object Object],47.00200000000002,-124.16127
"Sea Mar Comm Health Centers","Sea Mar CHC-Olympia","905 24th Way SW, Ste B","Olympia",98502,"WA",-122.9138,47.02759,[object Object],47.02759,-122.9138
"Sea Mar Comm Health Centers","Sea Mar CHC-Rochester","18543 Albany ST SW","Rochester",98579,"WA",-123.09768,46.8173,[object Object],46.81730000000003,-123.09767999999997
"Sea Mar Comm Health Centers","Sea Mar CHC-Seattle","8915 - 14th Ave S, 3rd Floor","Seattle",98108,"WA",-122.3151,47.52337,[object Object],47.52337000000003,-122.31510000000002
"Sea Mar Comm Health Centers","Sea Mar CHC-Tacoma","1516 S 11th St","Tacoma",98405,"WA",-122.4584,47.25108,[object Object],47.25108000000003,-122.45839999999997
"Sea Mar Comm Health Centers","Sea Mar CHC-Tenino","125 Central St E","Tenino",98589,"WA",-122.85073,46.85678,[object Object],46.856780000000036,-122.85073000000003
"Sea Mar Comm Health Centers","Sea Mar CHC-University Place","3560 Bridgeport Way West, Ste 1-A","University Place",98466,"WA",-122.53772,47.22662,[object Object],47.226619999999976,-122.53771999999995
"Sea Mar Comm Health Centers","Sea Mar CHC-Vancouver","2502 E 4TH PLAIN BLVD","Vancouver",98661,"WA",-122.64495,45.63863,[object Object],45.63863000000003,-122.64494999999998
"Seattle Indian Health Board","Seattle Indian HB-Seattle","611 12th Ave South","Seattle",98144,"WA",-122.3181,47.59723,[object Object],47.59723000000006,-122.31809999999999
"Skamania County Health Dept","Skamania CHD-Stevenson","710 SW Rock Creek Dr","Stevenson",98648,"WA",-121.89325,45.69167,[object Object],45.69166999999999,-121.89324999999998
"South Puget Intertribal Planning Agency","SPIPA-Skokomish Indian Tribe-Shelton","561 N Tribal Center Rd # 100","Skokomish Nation",98584,"WA",-123.15113,47.32604,[object Object],47.326040000000006,-123.15113
"South Puget Intertribal Planning Agency","SPIPA-Nisqually Indian-Olympia","4822 She-Nah-Num Dr SE","Olympia",98513,"WA",-122.67046,47.00424,[object Object],47.00424,-122.67046000000002
